loan_id,customer_id,disbursement_date,loan_amount,interest_rate,term_months,product_type_id,channel_id,dsa_id,region_id,loan_status,total_received,credit_score,created_at,updated_at
LN000035,66886,8/5/23,283000000,20.21,12,3,3,1765,2,,340194300,High,8/5/23 16:31,8/18/23 16:31
LN000036,76803,6/24/23,214000000,24.11,36,2,3,498,2,Approved,368786200,Medium,6/24/23 6:36,7/3/23 6:36
LN000037,41551,5/23/23,383000000,20.27,36,1,1,1830,1,Charged-off,615902300,Medium,5/23/23 7:10,6/9/23 7:10
LN000038,21394,3/21/23,285000000,19.53,24,1,3,459,1,Approved,396321000,Medium,3/21/23 15:41,4/4/23 15:41
LN000039,79092,4/21/23,256000000,24.83,48,1,2,900,3,Approved,510259200,Medium,4/21/23 1:22,5/7/23 1:22
LN000040,13890,6/22/23,140000000,20.31,24,2,3,1844,1,Charged-off,196868000,Medium,6/22/23 6:28,7/1/23 6:28
LN000041,51606,2/22/23,110000000,7.79,48,1,2,1248,1,Approved,144276000,Medium,2/22/23 10:10,2/25/23 10:10
LN000042,90038,2/17/23,45000000,14.23,36,1,3,1410,1,Charged-off,64210500,High,2/17/23 6:16,2/24/23 6:16
LN000043,97313,7/14/23,288000000,15.07,24,1,1,263,1,Approved,374803200,Medium,7/14/23 10:01,7/31/23 10:01
LN000044,20627,2/19/23,389000000,11.1,48,2,3,1522,3,Approved,561716000,Medium,2/19/23 10:35,3/12/23 10:35
LN000045,18792,7/3/23,43000000,8.29,36,1,1,1008,3,Approved,53694100,Medium,7/3/23 9:23,7/10/23 9:23
LN000046,83969,6/26/23,199000000,19.23,48,3,1,2140,1,Approved,352070800,High,6/26/23 15:18,6/29/23 15:18
LN000047,53001,11/6/23,203000000,10.55,24,1,3,1589,3,Approved,245833000,Low,11/6/23 9:46,11/11/23 9:46
LN000048,86552,5/16/23,81000000,17.49,60,2,3,231,1,Approved,151834500,Low,5/16/23 18:46,5/30/23 18:46
LN000049,33897,1/23/23,398000000,11.45,60,1,1,476,1,Approved,625855000,Low,1/23/23 20:47,2/5/23 20:47
LN000050,78148,8/24/23,29000000,15.12,24,3,1,846,1,Approved,37769600,Medium,8/24/23 0:00,8/25/23 0:00
LN000051,33483,10/2/23,51000000,11.74,12,2,1,1334,3,Charged-off,56987400,Medium,10/2/23 9:14,10/17/23 9:14
LN000052,58555,3/5/23,406000000,13.24,60,2,3,577,1,Approved,674772000,Medium,3/5/23 16:50,3/22/23 16:50
LN000053,27159,7/13/23,238000000,19.64,60,2,3,93,3,Approved,471716000,Medium,7/13/23 14:43,8/6/23 14:43
LN000054,90077,2/10/23,43000000,22.68,60,3,3,1577,3,Approved,91762000,Medium,2/10/23 0:52,2/17/23 0:52
LN000055,45920,10/10/23,389000000,15.17,12,2,2,654,1,Approved,448011300,Low,10/10/23 15:09,10/16/23 15:09
LN000056,77121,5/31/23,126000000,17.21,36,1,1,17,2,Approved,191053800,Medium,5/31/23 18:14,6/11/23 18:14
LN000057,79479,11/18/23,210000000,22.29,36,3,1,1170,3,Approved,350427000,High,11/18/23 14:11,12/7/23 14:11
LN000058,99475,11/13/23,127000000,7.86,12,2,3,1453,1,Approved,136982200,High,11/13/23 4:23,11/22/23 4:23
LN000059,29457,7/5/23,288000000,8.24,12,1,3,182,1,Approved,311731200,Medium,7/5/23 7:41,7/22/23 7:41
LN000060,76557,10/23/23,325000000,12.18,24,2,3,228,1,Approved,404170000,Low,10/23/23 10:45,10/28/23 10:45
LN000061,87189,4/9/23,450000000,11.18,24,1,1,1876,1,Approved,550620000,Low,4/9/23 2:14,4/29/23 2:14
LN000062,88953,12/27/23,311000000,24.73,24,1,3,1150,2,Approved,464820600,Medium,12/27/23 0:10,1/25/24 0:10
LN000063,62995,2/5/23,252000000,16.28,36,2,1,903,1,Approved,375076800,High,2/5/23 23:36,3/4/23 23:36
LN000064,50757,1/24/23,248000000,15.48,48,3,3,542,2,Approved,401561600,Medium,1/24/23 16:03,2/18/23 16:03
LN000065,19692,12/5/23,276000000,16.57,60,2,3,591,3,Approved,504666000,Low,12/5/23 14:06,12/9/23 14:06
LN000066,55758,4/27/23,24000000,22.5,24,2,3,913,2,Approved,34800000,Medium,4/27/23 10:58,5/26/23 10:58
LN000067,82409,5/29/23,311000000,9.87,60,1,3,180,3,Approved,464478500,Medium,5/29/23 2:36,6/6/23 2:36
LN000068,81211,2/10/23,283000000,15.22,12,2,3,1778,1,Approved,326072600,High,2/10/23 20:45,2/21/23 20:45
LN000069,75697,4/30/23,485000000,10.42,36,1,3,745,3,Approved,636611000,Low,4/30/23 2:26,5/4/23 2:26
LN000070,47065,2/21/23,73000000,20.61,24,2,3,751,2,Approved,103090600,Medium,2/21/23 16:05,3/2/23 16:05
LN000071,42606,7/14/23,475000000,20.54,48,1,1,1230,3,Charged-off,865260000,High,7/14/23 21:29,8/9/23 21:29
LN000072,21534,5/23/23,68000000,24.15,36,2,2,120,1,Approved,117266000,Medium,5/23/23 1:09,6/22/23 1:09
LN000073,50397,8/21/23,233000000,13.94,12,1,3,128,1,Approved,265480200,High,8/21/23 23:29,9/15/23 23:29
LN000074,11016,11/22/23,451000000,8.17,60,1,2,492,2,Approved,635233500,Low,11/22/23 19:01,12/16/23 19:01
LN000075,99789,7/6/23,173000000,22.93,36,1,1,1116,1,Charged-off,292006700,Medium,7/6/23 12:11,7/23/23 12:11
LN000076,65591,3/25/23,80000000,22.81,60,1,2,916,2,Approved,171240000,High,3/25/23 3:03,4/11/23 3:03
LN000077,99812,7/9/23,178000000,9.69,24,1,3,2165,1,Approved,212496400,Medium,7/9/23 16:29,7/12/23 16:29
LN000078,33247,7/1/23,494000000,10.53,12,1,3,689,3,Approved,546018200,High,7/1/23 23:43,7/13/23 23:43
LN000079,34300,4/18/23,458000000,11.27,48,1,3,510,3,Approved,664466400,High,4/18/23 8:09,5/15/23 8:09
LN000080,84065,12/10/23,21000000,14.04,36,1,3,545,3,Approved,29845200,Low,12/10/23 22:26,12/10/23 22:26
LN000081,92798,5/17/23,278000000,21.58,60,1,3,924,2,Approved,577962000,Low,5/17/23 5:40,6/7/23 5:40
LN000082,19268,12/26/23,308000000,7.89,12,3,3,1113,1,Approved,332301200,Low,12/26/23 18:22,1/1/24 18:22
LN000083,96807,12/16/23,372000000,19.01,12,2,3,941,1,Approved,442717200,Low,12/16/23 20:14,1/13/24 20:14
LN000084,22185,11/28/23,249000000,12.06,24,1,1,1490,3,Approved,309058800,Medium,11/28/23 11:50,12/9/23 11:50
LN000085,73704,2/6/23,150000000,8.91,36,1,3,1016,3,Approved,190095000,High,2/6/23 2:40,3/3/23 2:40
LN000086,96779,11/8/23,53000000,11.77,24,3,3,901,1,Charged-off,65476200,Medium,11/8/23 9:08,11/15/23 9:08
LN000087,49099,11/22/23,267000000,15.67,24,3,3,468,3,Approved,350677800,Low,11/22/23 12:00,12/1/23 12:00
LN000088,18571,3/29/23,283000000,23.43,24,2,3,1793,1,Approved,415613800,High,3/29/23 13:05,4/1/23 13:05
LN000089,48044,10/1/23,325000000,17.57,12,2,3,607,3,Approved,382102500,Low,10/1/23 6:34,10/16/23 6:34
LN000090,61214,5/6/23,272000000,17.14,60,2,3,1742,1,,505104000,Medium,5/6/23 8:43,5/19/23 8:43
LN000091,71228,3/25/23,428000000,7.17,60,2,2,429,1,Approved,581438000,Medium,3/25/23 1:15,4/16/23 1:15
LN000092,58984,8/25/23,411000000,6.6,48,2,1,1152,2,Approved,519504000,High,8/25/23 20:39,9/20/23 20:39
LN000093,50774,7/14/23,364000000,7.59,48,1,1,1717,1,,474510400,High,7/14/23 2:30,7/25/23 2:30
LN000094,12568,5/19/23,459000000,6.91,60,1,3,1032,1,Approved,617584500,Low,5/19/23 19:03,5/28/23 19:03
LN000095,72592,11/24/23,451000000,16.53,24,1,3,1646,1,Approved,600100600,Medium,11/24/23 12:05,12/7/23 12:05
LN000096,77563,12/19/23,425000000,14.05,12,3,1,1631,3,Approved,50000000,Medium,12/19/23 17:22,12/22/23 17:22
LN000097,12695,10/13/23,235000000,5.1,24,1,2,2147,1,Approved,258970000,High,10/13/23 0:02,11/7/23 0:02
LN000098,58190,4/23/23,26000000,12.02,24,1,3,1386,2,Approved,32250400,Medium,4/23/23 11:45,5/1/23 11:45
LN000099,15258,12/17/23,53000000,7.55,24,2,3,1760,2,Approved,61003000,High,12/17/23 11:49,12/20/23 11:49
LN000100,97538,6/16/23,50000000,24.76,36,1,3,1180,2,Approved,87140000,Low,6/16/23 18:35,6/19/23 18:35
LN000101,49504,1/29/23,421000000,14.2,36,2,1,1869,1,Approved,600346000,High,1/29/23 2:41,2/18/23 2:41
LN000102,43159,4/28/23,152000000,13.52,24,1,3,609,3,Approved,193100800,High,4/28/23 3:15,5/22/23 3:15
LN000103,23986,1/17/23,30000000,17.88,48,2,2,1791,3,Approved,51456000,High,1/17/23 10:57,2/4/23 10:57
LN000104,71858,6/11/23,317000000,12.14,48,1,1,2191,1,Approved,470935200,High,6/11/23 15:25,7/1/23 15:25
LN000105,22666,7/25/23,353000000,19.31,60,1,3,1478,2,Approved,693821500,Medium,7/25/23 8:53,7/28/23 8:53
LN000106,48660,5/18/23,487000000,23.1,12,1,1,909,3,Approved,1000000,Medium,5/18/23 9:15,5/19/23 9:15
LN000107,13561,2/3/23,366000000,14.98,36,2,3,2180,1,Charged-off,530480400,Medium,2/3/23 21:08,2/23/23 21:08
LN000108,36854,4/19/23,471000000,12.66,24,3,1,1303,2,Approved,590257200,High,4/19/23 13:23,4/22/23 13:23
LN000109,74505,10/18/23,406000000,15.44,36,2,3,134,3,Approved,594059200,Medium,10/18/23 22:50,10/27/23 22:50
LN000110,62251,6/11/23,208000000,17.07,60,1,2,2004,1,Approved,385528000,Low,6/11/23 12:29,7/2/23 12:29
LN000111,32662,4/19/23,474000000,21.95,48,1,3,1698,3,Approved,890172000,High,4/19/23 8:29,5/13/23 8:29
LN000112,18392,12/2/23,272000000,12.89,48,1,3,447,1,Approved,90000000,High,12/2/23 20:33,12/16/23 20:33
LN000113,40535,9/13/23,131000000,6.03,12,1,3,403,1,Charged-off,138899300,High,9/13/23 22:44,10/10/23 22:44
LN000114,88603,7/22/23,414000000,17.61,12,2,3,550,3,Approved,486905400,High,7/22/23 3:59,7/29/23 3:59
LN000115,62256,11/26/23,295000000,24.74,60,3,2,993,1,Approved,659915000,High,11/26/23 13:35,12/14/23 13:35
LN000116,99135,8/23/23,468000000,22.08,12,1,2,1910,3,Approved,571334400,Low,8/23/23 1:36,9/12/23 1:36
LN000117,45222,3/15/23,234000000,20.17,60,3,1,428,3,Charged-off,469989000,Medium,3/15/23 22:04,4/5/23 22:04
LN000118,87373,5/16/23,233000000,8.53,36,2,3,978,1,Charged-off,292624700,High,5/16/23 16:47,6/6/23 16:47
LN000119,89575,3/13/23,209000000,19.97,24,1,2,1168,2,Approved,292474600,High,3/13/23 16:08,4/10/23 16:08
LN000120,94651,5/7/23,43000000,6.63,48,2,2,1936,2,Approved,54403600,High,5/7/23 0:05,5/9/23 0:05
LN000121,73335,10/15/23,264000000,14.88,24,1,2,1673,3,Approved,342566400,High,10/15/23 1:43,11/4/23 1:43
LN000122,20965,10/3/23,169000000,12.42,36,3,3,440,1,Approved,231969400,Medium,10/3/23 9:43,10/8/23 9:43
LN000123,34538,5/15/23,202000000,23.11,12,1,1,1185,3,Approved,248682200,High,5/15/23 0:23,6/10/23 0:23
LN000124,80592,10/27/23,61000000,8.2,48,2,2,592,3,Charged-off,81008000,High,10/27/23 20:03,11/14/23 20:03
LN000125,18110,8/8/23,71000000,20.78,12,1,3,404,2,Approved,85753800,Low,8/8/23 8:23,8/24/23 8:23
LN000126,89309,10/26/23,178000000,5.97,24,1,1,1177,3,Charged-off,199253200,Low,10/26/23 0:25,11/21/23 0:25
LN000127,37266,7/24/23,194000000,19.04,12,2,3,1788,3,Approved,230937600,High,7/24/23 10:37,8/13/23 10:37
LN000128,62992,7/5/23,235000000,10.88,60,1,3,275,3,Approved,362840000,High,7/5/23 10:53,7/12/23 10:53
LN000129,92948,4/23/23,325000000,24.52,24,1,2,868,3,Approved,484380000,Medium,4/23/23 10:38,5/23/23 10:38
LN000130,16910,3/12/23,298000000,18.43,12,2,3,1989,2,Approved,352921400,Medium,3/12/23 4:00,4/6/23 4:00
LN000131,10206,9/18/23,331000000,11.18,24,1,1,919,1,Approved,405011600,Low,9/18/23 18:25,9/28/23 18:25
LN000132,97054,9/10/23,372000000,9.71,12,3,2,1710,3,Charged-off,408121200,Low,9/10/23 9:25,9/26/23 9:25
LN000133,97897,2/16/23,482000000,17.79,12,3,1,348,1,Approved,567747800,High,2/16/23 0:37,2/24/23 0:37
LN000134,33419,1/25/23,461000000,10.45,24,2,1,2020,3,Approved,557349000,Medium,1/25/23 8:29,2/3/23 8:29
LN000135,60636,2/26/23,374000000,8.74,36,3,1,307,1,Approved,472062800,Low,2/26/23 20:37,3/15/23 20:37
LN000136,60015,3/20/23,66000000,17.95,24,3,1,1993,1,Charged-off,89694000,Medium,3/20/23 18:38,4/17/23 18:38
LN000137,64268,11/18/23,44000000,19.49,48,1,1,2086,3,Approved,78302400,Low,11/18/23 5:06,12/10/23 5:06
LN000138,97939,3/23/23,266000000,9.76,48,2,1,1037,1,Approved,369846400,Medium,3/23/23 6:04,3/23/23 6:04
LN000139,28141,12/15/23,424000000,15.72,36,3,1,1491,1,Approved,623958400,High,12/15/23 2:46,1/5/24 2:46
LN000140,90356,8/5/23,455000000,18.27,12,2,2,1998,2,Approved,538128500,High,8/5/23 18:25,8/8/23 18:25
LN000141,81910,11/2/23,441000000,23.84,24,1,3,1707,2,Approved,651268800,High,11/2/23 0:49,11/6/23 0:49
LN000142,66044,2/2/23,309000000,21.07,12,2,2,266,2,Charged-off,374106300,Medium,2/2/23 23:14,2/16/23 23:14
LN000143,77214,7/17/23,118000000,13.42,12,3,1,878,3,Charged-off,133835600,Medium,7/17/23 7:08,8/1/23 7:08
LN000144,43827,7/15/23,242000000,21.89,48,1,3,1907,2,Charged-off,453895200,High,7/15/23 20:05,7/17/23 20:05
LN000145,65820,11/2/23,134000000,13.83,24,1,1,1591,3,Approved,171064400,Low,11/2/23 13:03,11/6/23 13:03
LN000146,72623,8/28/23,209000000,7.6,60,3,3,1033,3,Approved,288420000,High,8/28/23 13:26,9/25/23 13:26
LN000147,91734,9/28/23,83000000,11.82,48,1,2,2044,3,Approved,122242400,Medium,9/28/23 5:28,10/12/23 5:28
LN000148,85450,5/9/23,109000000,21.09,12,2,1,2085,2,Charged-off,131988100,Medium,5/9/23 1:21,5/24/23 1:21
LN000149,32299,10/11/23,223000000,24.12,12,2,2,1653,3,Approved,276787600,Medium,10/11/23 8:08,11/2/23 8:08
LN000150,53585,1/6/23,76000000,24.67,60,2,1,425,1,Approved,169746000,Medium,1/6/23 17:32,1/9/23 17:32
LN000151,74044,12/15/23,99000000,17.78,12,1,3,2000,2,Approved,116602200,Medium,12/15/23 12:41,1/13/24 12:41
LN000152,52557,2/28/23,128000000,14.57,36,3,3,338,3,Approved,183948800,Medium,2/28/23 18:34,3/10/23 18:34
LN000153,59080,12/16/23,361000000,8.24,60,2,1,1305,1,Charged-off,509732000,Low,12/16/23 18:55,12/28/23 18:55
LN000154,12693,10/2/23,495000000,7.05,12,3,3,1668,2,Approved,529897500,Medium,10/2/23 13:37,10/22/23 13:37
LN000155,79163,5/17/23,338000000,15.37,48,3,3,1222,3,Approved,545802400,High,5/17/23 23:21,6/2/23 23:21
LN000156,35939,11/25/23,394000000,19.56,48,2,1,1416,1,Approved,702265600,Medium,11/25/23 9:30,12/5/23 9:30
LN000157,58925,6/24/23,277000000,11.48,36,1,2,434,3,Approved,372398800,Medium,6/24/23 21:26,6/30/23 21:26
LN000158,52941,2/27/23,429000000,18.49,60,1,1,1111,1,Approved,825610500,Medium,2/27/23 23:40,3/25/23 23:40
LN000159,31834,5/31/23,217000000,16.42,60,2,3,378,2,Charged-off,395157000,Medium,5/31/23 0:43,6/26/23 0:43
LN000160,28047,8/11/23,186000000,23.81,12,2,3,1350,3,Approved,230286600,High,8/11/23 22:31,8/30/23 22:31
LN000161,36105,3/22/23,453000000,9.19,12,2,1,800,3,Charged-off,494630700,Medium,3/22/23 15:10,3/22/23 15:10
LN000162,85766,8/21/23,274000000,16.82,24,1,1,1175,1,Approved,366173600,Low,8/21/23 18:13,9/16/23 18:13
LN000163,25707,1/2/23,439000000,13.28,36,1,3,504,1,Approved,613897600,High,1/2/23 18:26,1/20/23 18:26
LN000164,31976,5/15/23,142000000,10.23,60,1,3,1880,3,Charged-off,214633000,Medium,5/15/23 0:25,5/18/23 0:25
LN000165,54262,9/14/23,420000000,12.15,12,2,3,1509,1,Approved,471030000,Low,9/14/23 5:10,10/5/23 5:10
LN000166,33776,4/2/23,59000000,10.89,60,2,3,851,1,Approved,91125500,High,4/2/23 13:22,4/16/23 13:22
LN000167,40080,9/17/23,26000000,15.55,36,2,3,452,3,Approved,38129000,High,9/17/23 10:58,9/26/23 10:58
LN000168,76842,2/24/23,330000000,16.16,48,2,2,129,1,Approved,543312000,Medium,2/24/23 5:22,3/4/23 5:22
LN000169,71373,11/17/23,192000000,22.31,36,1,3,236,3,Approved,320505600,Medium,11/17/23 20:45,12/2/23 20:45
LN000170,16776,6/2/23,170000000,20.63,60,3,3,1814,3,Approved,345355000,Medium,6/2/23 23:49,6/20/23 23:49
LN000171,65016,11/24/23,207000000,11.05,12,3,3,2063,2,Charged-off,229873500,High,11/24/23 11:32,12/23/23 11:32
LN000172,19474,9/17/23,430000000,23.63,60,2,2,1293,1,Approved,938045000,Low,9/17/23 3:05,10/17/23 3:05
LN000173,68053,11/8/23,214000000,22.37,24,1,2,1746,1,Charged-off,309743600,Medium,11/8/23 13:02,11/16/23 13:02
LN000174,31959,4/12/23,334000000,17.52,36,2,1,1409,1,Approved,509550400,High,4/12/23 9:38,4/12/23 9:38
LN000175,15530,3/20/23,376000000,5.37,24,3,3,127,3,Charged-off,416382400,High,3/20/23 23:37,4/18/23 23:37
LN000176,13748,7/11/23,231000000,9.18,60,3,2,51,2,Approved,337029000,Medium,7/11/23 14:55,7/27/23 14:55
LN000177,23545,3/24/23,64000000,20.79,60,1,2,1102,1,Approved,130528000,High,3/24/23 20:29,3/24/23 20:29
LN000178,76199,10/4/23,314000000,14.08,24,2,3,365,2,Approved,402422400,Low,10/4/23 7:03,10/25/23 7:03
LN000179,44766,9/29/23,351000000,7.52,12,3,2,491,1,Approved,377395200,Low,9/29/23 6:57,10/5/23 6:57
LN000180,83530,1/1/23,167000000,13.17,12,1,2,1063,1,Approved,188993900,Low,1/1/23 8:04,1/1/23 8:04
LN000181,71087,11/3/23,195000000,9.24,36,1,3,1550,1,Approved,249054000,Medium,11/3/23 11:41,11/28/23 11:41
LN000182,78840,6/15/23,389000000,22.85,24,1,3,1081,1,Charged-off,566773000,High,6/15/23 14:15,7/10/23 14:15
LN000183,64384,9/8/23,238000000,22.79,36,1,1,1769,3,Charged-off,400720600,High,9/8/23 4:30,10/6/23 4:30
LN000184,61005,1/10/23,334000000,12.74,36,3,1,1857,3,Approved,461654800,Medium,1/10/23 6:49,2/3/23 6:49
LN000185,56576,2/27/23,89000000,7.75,48,2,3,291,3,Approved,116590000,Medium,2/27/23 1:53,3/16/23 1:53
LN000186,49353,7/5/23,356000000,12.18,36,1,3,559,3,Approved,486082400,High,7/5/23 6:28,7/24/23 6:28
LN000187,72003,6/7/23,261000000,7.57,36,3,3,735,1,Approved,320273100,Low,6/7/23 20:38,6/30/23 20:38
LN000188,93211,5/3/23,188000000,11.08,48,1,2,647,1,Approved,271321600,High,5/3/23 15:59,5/8/23 15:59
LN000189,62733,1/30/23,93000000,20.42,36,2,3,5,2,Approved,149971800,Low,1/30/23 10:14,2/4/23 10:14
LN000190,75318,5/4/23,72000000,10.84,36,2,2,541,3,Approved,95414400,High,5/4/23 8:59,5/22/23 8:59
LN000191,99474,10/18/23,402000000,15.88,36,2,3,1789,3,Approved,593512800,High,10/18/23 0:42,11/7/23 0:42
LN000192,33664,2/10/23,422000000,7.38,24,1,3,1340,1,Approved,484287200,High,2/10/23 17:10,2/11/23 17:10
LN000193,77172,2/13/23,46000000,11.95,48,2,1,441,3,Approved,67988000,Medium,2/13/23 17:18,3/12/23 17:18
LN000194,95616,9/6/23,184000000,5.79,12,2,1,2127,2,Approved,194653600,Medium,9/6/23 1:49,9/18/23 1:49
LN000195,36736,2/5/23,128000000,15.96,36,2,3,1862,1,Approved,189286400,Medium,2/5/23 14:44,2/13/23 14:44
LN000196,10854,9/30/23,186000000,11.95,24,3,3,57,1,Charged-off,230454000,High,9/30/23 16:38,10/26/23 16:38
LN000197,48623,3/6/23,79000000,22.44,24,2,1,1842,1,Approved,114455200,High,3/6/23 1:27,3/9/23 1:27
LN000198,17392,3/7/23,164000000,12.85,24,2,1,2089,1,Charged-off,206148000,High,3/7/23 17:15,3/26/23 17:15
LN000199,65680,12/4/23,434000000,16.16,48,3,3,1956,1,Charged-off,714537600,Medium,12/4/23 20:39,12/23/23 20:39
LN000200,56717,9/1/23,377000000,24.53,48,2,3,638,3,Approved,746912400,High,9/1/23 19:03,9/25/23 19:03
LN000201,97092,10/9/23,414000000,17.85,60,2,1,448,3,Approved,783495000,Low,10/9/23 16:29,10/21/23 16:29
LN000202,60859,3/26/23,171000000,15.01,36,2,3,423,1,Approved,248001300,Low,3/26/23 1:27,4/5/23 1:27
LN000203,36309,5/16/23,73000000,6.96,12,2,3,1812,2,Approved,78080800,High,5/16/23 20:21,6/2/23 20:21
LN000204,97455,9/28/23,133000000,21.42,12,2,3,1068,1,Approved,161488600,Medium,9/28/23 5:44,10/21/23 5:44
LN000205,73734,11/7/23,485000000,17.85,60,2,2,1345,2,Charged-off,917862500,Medium,11/7/23 1:24,11/16/23 1:24
LN000206,80467,8/5/23,413000000,7.17,12,1,2,841,3,Approved,442612100,High,8/5/23 23:11,8/6/23 23:11
LN000207,62662,4/19/23,50000000,9.91,36,2,3,746,1,Approved,64865000,Low,4/19/23 4:00,4/23/23 4:00
LN000208,22688,10/4/23,42000000,15.75,12,1,3,1785,1,Approved,48615000,Low,10/4/23 20:27,10/26/23 20:27
LN000209,35342,12/20/23,434000000,5.9,36,1,1,1066,1,Approved,510818000,High,12/20/23 23:52,1/7/24 23:52
LN000210,47157,4/13/23,110000000,19.37,48,2,2,971,1,Approved,195228000,Low,4/13/23 20:59,4/20/23 20:59
LN000211,77863,6/9/23,451000000,9.56,48,3,2,1952,1,Approved,623462400,Medium,6/9/23 3:09,6/23/23 3:09
LN000212,62083,7/24/23,389000000,14.79,36,2,2,1432,3,Approved,561599300,High,7/24/23 18:27,8/6/23 18:27
LN000213,75733,12/10/23,472000000,9.83,36,1,3,1162,3,Approved,611192800,Medium,12/10/23 23:38,12/18/23 23:38
LN000214,99045,11/29/23,163000000,14.78,48,2,2,1715,1,Charged-off,259365600,Medium,11/29/23 21:28,12/9/23 21:28
LN000215,44698,7/11/23,67000000,8.79,36,3,3,594,1,Approved,84667900,Low,7/11/23 9:37,7/15/23 9:37
LN000216,90623,8/13/23,414000000,16.88,60,3,1,1276,3,Approved,763416000,High,8/13/23 7:35,9/8/23 7:35
